Bot,Simulation,q,Time Step,Result
Bot2,44,0.00,35,Success
Bot3,44,0.00,35,Success
Bot4,44,0.00,35,Success
Bot1,45,0.00,53,Success
Bot2,45,0.00,53,Success
Bot3,45,0.00,53,Success
Bot4,45,0.00,53,Success
Bot1,46,0.00,33,Success
Bot2,46,0.00,35,Success
Bot3,46,0.00,33,Success
Bot4,46,0.00,33,Success
Bot1,47,0.00,27,Success
Bot2,47,0.00,27,Success
Bot3,47,0.00,27,Success
Bot4,47,0.00,27,Success
Bot1,48,0.00,15,Success
Bot2,48,0.00,15,Success
Bot3,48,0.00,15,Success
Bot4,48,0.00,15,Success
Bot1,49,0.00,44,Success
Bot2,49,0.00,44,Success
Bot3,49,0.00,44,Success
Bot4,49,0.00,44,Success
Bot1,50,0.00,29,Success
Bot2,50,0.00,29,Success
Bot3,50,0.00,29,Success
Bot4,50,0.00,29,Success
Bot1,51,0.00,34,Success
Bot2,51,0.00,34,Success
Bot3,51,0.00,34,Success
Bot4,51,0.00,34,Success
Bot1,52,0.00,33,Success
Bot2,52,0.00,33,Success
Bot3,52,0.00,33,Success
Bot4,52,0.00,33,Success
Bot1,53,0.00,30,Success
Bot2,53,0.00,32,Success
Bot3,53,0.00,30,Success
Bot4,53,0.00,30,Success
Bot1,54,0.00,28,Success
Bot2,54,0.00,28,Success
Bot3,54,0.00,28,Success
Bot4,54,0.00,28,Success
Bot1,55,0.00,30,Success
Bot2,55,0.00,30,Success
Bot3,55,0.00,30,Success
Bot4,55,0.00,30,Success
Bot1,56,0.00,14,Success
Bot2,56,0.00,14,Success
Bot3,56,0.00,14,Success
Bot4,56,0.00,14,Success
Bot1,57,0.00,45,Success
Bot2,57,0.00,45,Success
Bot3,57,0.00,45,Success
Bot4,57,0.00,45,Success
Bot1,58,0.00,24,Success
Bot2,58,0.00,24,Success
Bot3,58,0.00,24,Success
Bot4,58,0.00,24,Success
Bot1,59,0.00,34,Success
Bot2,59,0.00,34,Success
Bot3,59,0.00,34,Success
Bot4,59,0.00,34,Success
Bot1,60,0.00,7,Success
Bot2,60,0.00,7,Success
Bot3,60,0.00,7,Success
Bot4,60,0.00,7,Success
Bot1,61,0.00,39,Success
Bot2,61,0.00,39,Success
Bot3,61,0.00,39,Success
Bot4,61,0.00,39,Success
Bot1,62,0.00,22,Success
Bot2,62,0.00,22,Success
Bot3,62,0.00,22,Success
Bot4,62,0.00,22,Success
Bot1,63,0.00,34,Success
Bot2,63,0.00,34,Success
Bot3,63,0.00,34,Success
Bot4,63,0.00,34,Success
Bot1,64,0.00,36,Success
